https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1646870400000,2022-03-10 00:00:00,BNB/USDT,392.960,394.360,362.760,371.770,1230312.39,461084617.77178,803795
1646784000000,2022-03-09 00:00:00,BNB/USDT,381.020,402.450,380.710,392.960,1598742.55,630177574.37478,871614
1646697600000,2022-03-08 00:00:00,BNB/USDT,380.120,388.800,376.590,380.990,1340264.20,512811342.85930,713882
1646611200000,2022-03-07 00:00:00,BNB/USDT,374.680,385.620,362.360,380.130,1604861.57,602333649.33251,909833
1646524800000,2022-03-06 00:00:00,BNB/USDT,384.410,387.000,372.160,374.640,813431.18,308621930.39972,584555
1646438400000,2022-03-05 00:00:00,BNB/USDT,374.050,387.220,366.620,384.380,865309.88,326382281.52259,627219
1646352000000,2022-03-04 00:00:00,BNB/USDT,402.240,403.270,371.500,374.050,1197130.93,465715350.47130,783188
1646265600000,2022-03-03 00:00:00,BNB/USDT,408.950,412.760,397.110,402.250,962575.97,389953761.26345,726505
1646179200000,2022-03-02 00:00:00,BNB/USDT,408.610,415.460,403.410,408.950,1153475.22,472652549.35238,841250
1646092800000,2022-03-01 00:00:00,BNB/USDT,395.470,429.360,390.970,408.560,2327829.24,947724585.79654,1251209
1646006400000,2022-02-28 00:00:00,BNB/USDT,359.970,397.370,355.520,395.500,1485043.23,555718426.06720,869567
1645920000000,2022-02-27 00:00:00,BNB/USDT,373.460,381.170,357.870,359.980,1137035.75,419421651.55829,764511
1645833600000,2022-02-26 00:00:00,BNB/USDT,374.700,392.790,370.050,373.440,910065.37,342691638.68954,627009
1645747200000,2022-02-25 00:00:00,BNB/USDT,360.810,377.180,356.410,374.670,1258672.16,460204421.14273,764522
1645660800000,2022-02-24 00:00:00,BNB/USDT,365.410,370.770,323.020,360.800,3108326.69,1069943746.64733,1487455
1645574400000,2022-02-23 00:00:00,BNB/USDT,373.990,384.210,365.020,365.410,1184214.06,445382538.19139,723171
1645488000000,2022-02-22 00:00:00,BNB/USDT,356.340,375.350,347.870,373.940,1624665.92,588030967.00704,845346
1645401600000,2022-02-21 00:00:00,BNB/USDT,380.310,393.410,354.640,356.350,2066878.13,776896993.37060,1027131
1645315200000,2022-02-20 00:00:00,BNB/USDT,399.490,399.770,374.610,380.310,1228339.57,470299411.78357,721906
1645228800000,2022-02-19 00:00:00,BNB/USDT,398.890,406.340,392.570,399.430,782602.83,312916650.45032,516757
1645142400000,2022-02-18 00:00:00,BNB/USDT,402.020,410.960,391.850,398.890,1103745.27,442706677.18745,673256
1645056000000,2022-02-17 00:00:00,BNB/USDT,426.980,430.860,399.520,401.980,1194826.95,497142924.43249,743407
1644969600000,2022-02-16 00:00:00,BNB/USDT,432.090,433.500,421.910,426.980,1068550.60,457961000.69440,716621
1644883200000,2022-02-15 00:00:00,BNB/USDT,403.290,443.300,402.670,432.080,1891608.21,806624525.20410,1040704
1644796800000,2022-02-14 00:00:00,BNB/USDT,397.830,404.420,390.310,403.290,876802.26,348625546.67937,551262
1644710400000,2022-02-13 00:00:00,BNB/USDT,403.480,407.660,394.380,397.820,735432.63,295439446.61053,503509
1644624000000,2022-02-12 00:00:00,BNB/USDT,399.810,406.990,393.090,403.460,883203.51,353613593.55277,617873
1644537600000,2022-02-11 00:00:00,BNB/USDT,414.370,418.600,392.500,399.810,1228674.22,502188865.90829,815993
1644451200000,2022-02-10 00:00:00,BNB/USDT,422.560,435.130,409.590,414.360,1689843.50,713706574.03105,939684
1644364800000,2022-02-09 00:00:00,BNB/USDT,407.960,427.490,407.220,422.570,1164173.38,486652732.54354,680185
1644278400000,2022-02-08 00:00:00,BNB/USDT,433.140,445.480,406.260,407.940,1455518.29,615675365.05302,835786
1644192000000,2022-02-07 00:00:00,BNB/USDT,419.670,438.580,412.790,433.150,1172317.29,503194999.26586,691254
