https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1645920000000,2022-02-27 00:00:00,LINK/USDT,14.706,14.847,13.452,13.635,21729707.30,308086060.10650,706977
1645833600000,2022-02-26 00:00:00,LINK/USDT,14.358,15.358,14.069,14.706,17571247.36,255439897.66698,608375
1645747200000,2022-02-25 00:00:00,LINK/USDT,13.261,14.482,13.063,14.359,22944990.44,313998512.11830,701324
1645660800000,2022-02-24 00:00:00,LINK/USDT,13.340,14.105,11.388,13.261,54862507.39,679932010.78627,1276720
1645574400000,2022-02-23 00:00:00,LINK/USDT,13.984,14.654,13.288,13.340,19582197.63,276073418.37958,589887
1645488000000,2022-02-22 00:00:00,LINK/USDT,13.492,14.175,12.988,13.983,23837202.07,325251434.27103,673556
1645401600000,2022-02-21 00:00:00,LINK/USDT,14.603,15.303,13.356,13.492,32191730.47,464524666.93738,813550
1645315200000,2022-02-20 00:00:00,LINK/USDT,15.508,15.523,14.389,14.601,16954193.93,250071443.26270,528643
1645228800000,2022-02-19 00:00:00,LINK/USDT,15.173,15.680,14.819,15.507,13100282.48,200241958.32218,424377
1645142400000,2022-02-18 00:00:00,LINK/USDT,15.581,16.040,15.015,15.174,16718015.23,259283518.83639,531365
1645056000000,2022-02-17 00:00:00,LINK/USDT,17.108,17.440,15.424,15.582,19464079.31,318124629.36576,662927
1644969600000,2022-02-16 00:00:00,LINK/USDT,17.336,17.399,16.503,17.110,16260763.93,275874784.19167,518080
1644883200000,2022-02-15 00:00:00,LINK/USDT,15.896,17.451,15.805,17.339,17699103.02,294919901.98419,617532
1644796800000,2022-02-14 00:00:00,LINK/USDT,15.601,16.116,15.188,15.896,17098271.07,267002613.86967,611700
1644710400000,2022-02-13 00:00:00,LINK/USDT,15.952,16.320,15.510,15.601,12272496.30,196212236.31435,468042
1644624000000,2022-02-12 00:00:00,LINK/USDT,16.189,16.371,15.556,15.949,17519346.65,280348737.22605,610802
1644537600000,2022-02-11 00:00:00,LINK/USDT,17.486,17.799,15.899,16.189,18567755.18,317974222.01497,712400
1644451200000,2022-02-10 00:00:00,LINK/USDT,18.664,18.749,17.319,17.486,24412949.91,441112858.20908,819781
1644364800000,2022-02-09 00:00:00,LINK/USDT,18.372,18.739,17.730,18.664,14089502.89,258045804.90134,559792
1644278400000,2022-02-08 00:00:00,LINK/USDT,18.875,19.533,17.675,18.367,24321021.11,448405778.33392,819154
1644192000000,2022-02-07 00:00:00,LINK/USDT,18.064,19.393,17.633,18.874,22370240.04,417914405.54907,744784
