https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1652227200000,2022-05-11 00:00:00,ETH/USDT,2340.85,2451.86,2002.00,2083.98,5826464.141,13173803440.07364,7380714
1652140800000,2022-05-10 00:00:00,ETH/USDT,2227.62,2455.88,2197.38,2340.86,4079487.756,9596880256.63219,5395559
1652054400000,2022-05-09 00:00:00,ETH/USDT,2519.03,2530.88,2222.46,2227.48,4531752.048,10697215137.69064,5474848
1651968000000,2022-05-08 00:00:00,ETH/USDT,2634.82,2641.11,2480.00,2518.90,1999269.154,5089866425.16320,2923846
1651881600000,2022-05-07 00:00:00,ETH/USDT,2691.60,2703.61,2581.89,2634.82,963077.904,2563154598.57406,1676146
1651795200000,2022-05-06 00:00:00,ETH/USDT,2746.36,2757.28,2630.00,2691.59,1917392.823,5168734732.80876,2749965
1651708800000,2022-05-05 00:00:00,ETH/USDT,2939.76,2955.79,2684.84,2746.37,2174369.003,6098185668.96568,2792559
1651622400000,2022-05-04 00:00:00,ETH/USDT,2780.92,2965.00,2770.08,2939.76,1716921.512,4918906434.58761,2466900
1651536000000,2022-05-03 00:00:00,ETH/USDT,2855.15,2860.76,2753.00,2780.91,1170566.655,3294651871.44225,1805962
1651449600000,2022-05-02 00:00:00,ETH/USDT,2823.38,2882.15,2774.97,2855.16,1598694.150,4519577853.11413,2375200
1651363200000,2022-05-01 00:00:00,ETH/USDT,2725.10,2849.00,2714.50,2823.38,1217450.891,3385139761.72705,1915241
1651276800000,2022-04-30 00:00:00,ETH/USDT,2815.38,2841.04,2711.65,2725.10,1115770.231,3118023087.07109,1875933
1651190400000,2022-04-29 00:00:00,ETH/USDT,2935.39,2946.29,2776.00,2815.37,1671919.811,4775274689.59476,2376583
1651104000000,2022-04-28 00:00:00,ETH/USDT,2887.57,2979.76,2853.24,2935.39,1925868.923,5612621053.48657,2603535
1651017600000,2022-04-27 00:00:00,ETH/USDT,2807.89,2920.00,2792.27,2887.57,1889647.276,5415643571.37906,2579650
1650931200000,2022-04-26 00:00:00,ETH/USDT,3006.12,3043.00,2761.27,2807.88,2115673.365,6148208700.99848,2885124
1650844800000,2022-04-25 00:00:00,ETH/USDT,2918.98,3026.02,2791.30,3006.11,2207537.517,6381274608.20131,3090400
1650758400000,2022-04-24 00:00:00,ETH/USDT,2930.28,2967.20,2908.99,2918.97,847760.075,2491367633.10070,1389020
1650672000000,2022-04-23 00:00:00,ETH/USDT,2960.39,2976.82,2904.36,2930.28,615769.147,1817888152.35829,1227459
1650585600000,2022-04-22 00:00:00,ETH/USDT,2981.31,3035.37,2930.26,2960.38,1476858.769,4405125111.45917,2267165
1650499200000,2022-04-21 00:00:00,ETH/USDT,3073.96,3180.00,2933.33,2981.31,1801732.011,5555789275.52444,2468544
1650412800000,2022-04-20 00:00:00,ETH/USDT,3100.43,3173.89,3031.48,3074.01,1393841.930,4315689906.27074,1875863
1650326400000,2022-04-19 00:00:00,ETH/USDT,3054.02,3129.43,3027.66,3100.42,1194169.089,3675189299.32606,1594803
1650240000000,2022-04-18 00:00:00,ETH/USDT,2986.02,3069.00,2875.87,3054.02,1815827.195,5367447373.56267,2173037
1650153600000,2022-04-17 00:00:00,ETH/USDT,3058.00,3082.56,2980.60,2986.03,1075168.023,3272956187.26666,1309595
1650067200000,2022-04-16 00:00:00,ETH/USDT,3039.20,3090.00,3008.08,3057.99,652575.022,1983250932.42988,951834
1649980800000,2022-04-15 00:00:00,ETH/USDT,3019.82,3062.81,2990.06,3039.19,923299.874,2793541314.08019,1319319
1649894400000,2022-04-14 00:00:00,ETH/USDT,3116.53,3148.00,2973.47,3019.82,1505522.162,4606236523.90761,1915798
1649808000000,2022-04-13 00:00:00,ETH/USDT,3026.31,3133.00,2995.23,3116.45,1652978.477,5064530681.36142,2045938
1649721600000,2022-04-12 00:00:00,ETH/USDT,2978.69,3082.00,2948.19,3026.30,1863628.985,5623890363.23573,2382584
1649635200000,2022-04-11 00:00:00,ETH/USDT,3200.24,3212.00,2945.08,2978.69,2565570.206,7861189063.19620,3029221
1649548800000,2022-04-10 00:00:00,ETH/USDT,3257.54,3307.21,3187.00,3200.24,1000563.670,3254049432.15029,1346639
1649462400000,2022-04-09 00:00:00,ETH/USDT,3191.27,3269.62,3180.24,3257.53,909857.465,2928136396.63502,1312697
