https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1616457600000,2021-03-23 00:00:00,EOS/USDT,4.082,4.271,4.040,4.093,55325450.0,229080417.7623,572447
1616371200000,2021-03-22 00:00:00,EOS/USDT,4.160,4.354,4.002,4.082,69610668.1,292895705.3260,684957
1616284800000,2021-03-21 00:00:00,EOS/USDT,4.337,4.425,4.117,4.160,54523425.5,231148721.2525,515936
1616198400000,2021-03-20 00:00:00,EOS/USDT,4.144,4.512,4.130,4.337,69338361.3,303452085.9889,524631
1616112000000,2021-03-19 00:00:00,EOS/USDT,4.150,4.271,4.027,4.144,44686032.9,187011254.6503,396600
1616025600000,2021-03-18 00:00:00,EOS/USDT,4.093,4.337,4.061,4.150,67706560.6,282893656.3860,516817
1615939200000,2021-03-17 00:00:00,EOS/USDT,4.072,4.100,3.860,4.093,40854508.7,162505099.3558,387507
1615852800000,2021-03-16 00:00:00,EOS/USDT,3.817,4.144,3.671,4.071,74870602.5,297111321.8212,584697
1615766400000,2021-03-15 00:00:00,EOS/USDT,3.927,4.042,3.720,3.819,63201428.1,244061235.4040,493908
1615680000000,2021-03-14 00:00:00,EOS/USDT,4.293,4.395,3.928,3.928,61118759.3,253178180.4617,505158
1615593600000,2021-03-13 00:00:00,EOS/USDT,3.786,4.392,3.680,4.292,67773292.4,273227167.2363,541663
1615507200000,2021-03-12 00:00:00,EOS/USDT,3.958,4.000,3.672,3.786,61832235.7,237491424.5561,475408
1615420800000,2021-03-11 00:00:00,EOS/USDT,3.994,4.054,3.809,3.958,64584427.3,254656147.9827,464209
1615334400000,2021-03-10 00:00:00,EOS/USDT,4.173,4.197,3.900,3.995,68529798.9,276944129.4463,483101
1615248000000,2021-03-09 00:00:00,EOS/USDT,3.904,4.194,3.850,4.173,63013616.8,253553745.0793,468354
1615161600000,2021-03-08 00:00:00,EOS/USDT,3.835,3.928,3.737,3.904,46002198.9,176661000.2877,387772
1615075200000,2021-03-07 00:00:00,EOS/USDT,3.723,3.850,3.715,3.835,27680579.0,104419115.8817,232469
1614988800000,2021-03-06 00:00:00,EOS/USDT,3.693,3.773,3.600,3.722,29717009.3,110073995.1025,234701
1614902400000,2021-03-05 00:00:00,EOS/USDT,3.752,3.760,3.557,3.693,39204014.3,143431205.4148,311026
1614816000000,2021-03-04 00:00:00,EOS/USDT,3.829,3.931,3.640,3.752,50578283.7,192023659.9249,402316
1614729600000,2021-03-03 00:00:00,EOS/USDT,3.672,4.073,3.644,3.828,69825458.0,271954459.9655,490267
1614643200000,2021-03-02 00:00:00,EOS/USDT,3.710,3.856,3.565,3.672,52845082.1,195237368.3566,397216
1614556800000,2021-03-01 00:00:00,EOS/USDT,3.479,3.763,3.451,3.708,45906882.4,165186329.6182,347623
1614470400000,2021-02-28 00:00:00,EOS/USDT,3.674,3.704,3.243,3.479,68600603.0,236930609.6666,524717
1614384000000,2021-02-27 00:00:00,EOS/USDT,3.550,3.843,3.541,3.674,60846533.3,226008641.4279,439501
1614297600000,2021-02-26 00:00:00,EOS/USDT,3.670,3.773,3.391,3.549,83103505.1,299009676.9256,549892
1614211200000,2021-02-25 00:00:00,EOS/USDT,3.887,4.099,3.623,3.672,78319641.2,306224994.0684,541561
1614124800000,2021-02-24 00:00:00,EOS/USDT,3.849,4.139,3.672,3.887,89973247.0,353917394.3827,599371
1614038400000,2021-02-23 00:00:00,EOS/USDT,4.691,4.724,3.140,3.848,206944519.9,798237846.4867,1359537
1613952000000,2021-02-22 00:00:00,EOS/USDT,5.109,5.316,3.800,4.689,163903452.3,783750843.9737,1105436
1613865600000,2021-02-21 00:00:00,EOS/USDT,4.843,5.373,4.734,5.110,81790887.8,413382534.8106,599659
1613779200000,2021-02-20 00:00:00,EOS/USDT,5.234,5.475,4.510,4.848,101171949.0,521946669.5622,725833
1613692800000,2021-02-19 00:00:00,EOS/USDT,4.826,5.400,4.654,5.232,89241254.6,456076460.6030,620485
1613606400000,2021-02-18 00:00:00,EOS/USDT,4.849,5.004,4.658,4.825,61013167.5,297062444.8189,446295
1613520000000,2021-02-17 00:00:00,EOS/USDT,4.646,4.909,4.421,4.847,68709920.1,325039778.8019,481725
1613433600000,2021-02-16 00:00:00,EOS/USDT,4.719,4.981,4.405,4.647,97147767.0,457734107.0580,686158
1613347200000,2021-02-15 00:00:00,EOS/USDT,5.076,5.257,4.097,4.720,155437816.5,733096586.9658,949742
1613260800000,2021-02-14 00:00:00,EOS/USDT,5.572,5.648,4.857,5.077,110853479.2,581472507.0739,778489
1613174400000,2021-02-13 00:00:00,EOS/USDT,4.761,5.580,4.501,5.571,172222107.6,866988245.6111,1061668
1613088000000,2021-02-12 00:00:00,EOS/USDT,4.592,4.861,4.224,4.760,108867266.7,498477060.7910,731883
1613001600000,2021-02-11 00:00:00,EOS/USDT,4.134,4.688,4.005,4.593,127266642.3,552483086.5900,800071
1612915200000,2021-02-10 00:00:00,EOS/USDT,4.176,4.570,3.564,4.134,209661476.0,866595518.5672,1197593
1612828800000,2021-02-09 00:00:00,EOS/USDT,3.604,4.327,3.484,4.177,148919620.9,578380742.8039,1046421
1612742400000,2021-02-08 00:00:00,EOS/USDT,3.444,3.607,3.353,3.601,86807692.1,301669422.5281,691494
1612656000000,2021-02-07 00:00:00,EOS/USDT,3.217,3.600,3.019,3.444,155836527.3,521272947.4993,1221528
1612569600000,2021-02-06 00:00:00,EOS/USDT,3.319,3.337,3.129,3.215,54549765.1,175842451.1200,510828
1612483200000,2021-02-05 00:00:00,EOS/USDT,3.028,3.390,3.016,3.320,76824280.0,245180760.0980,733699
1612396800000,2021-02-04 00:00:00,EOS/USDT,3.070,3.157,2.981,3.028,57640878.1,176207768.2615,522570
1612310400000,2021-02-03 00:00:00,EOS/USDT,3.001,3.150,2.989,3.072,48778892.4,149363946.3699,400075
1612224000000,2021-02-02 00:00:00,EOS/USDT,3.060,3.085,2.960,3.001,44963712.4,135649676.3722,400569
1612137600000,2021-02-01 00:00:00,EOS/USDT,2.933,3.293,2.892,3.060,140308269.8,434562944.7090,1073253
1612051200000,2021-01-31 00:00:00,EOS/USDT,2.934,3.084,2.804,2.934,79448281.9,233183967.5579,818362
1611964800000,2021-01-30 00:00:00,EOS/USDT,2.728,3.110,2.690,2.934,81628095.6,236617828.6799,927751
1611878400000,2021-01-29 00:00:00,EOS/USDT,2.711,2.909,2.652,2.729,66982216.7,185154036.3255,894549
1611792000000,2021-01-28 00:00:00,EOS/USDT,2.503,2.800,2.477,2.710,57923055.9,155169405.3155,772862
1611705600000,2021-01-27 00:00:00,EOS/USDT,2.632,2.632,2.465,2.502,26352733.8,66969075.8052,624938
1611619200000,2021-01-26 00:00:00,EOS/USDT,2.652,2.678,2.556,2.632,22850326.4,59763881.5424,322645
1611532800000,2021-01-25 00:00:00,EOS/USDT,2.717,2.773,2.631,2.652,27923410.2,75841308.2872,324255
1611446400000,2021-01-24 00:00:00,EOS/USDT,2.705,2.779,2.648,2.717,26732599.7,72777319.7645,346540
1611360000000,2021-01-23 00:00:00,EOS/USDT,2.626,2.789,2.576,2.705,39045070.3,104722380.6834,413895
1611273600000,2021-01-22 00:00:00,EOS/USDT,2.547,2.679,2.429,2.626,43472228.1,111863444.7154,425386
1611187200000,2021-01-21 00:00:00,EOS/USDT,2.780,2.788,2.496,2.548,42192875.1,111486410.7575,468771
1611100800000,2021-01-20 00:00:00,EOS/USDT,2.794,2.829,2.660,2.779,37585273.7,103221767.1251,396437
1611014400000,2021-01-19 00:00:00,EOS/USDT,2.820,2.938,2.781,2.793,52162104.8,149511210.4530,459778
1610928000000,2021-01-18 00:00:00,EOS/USDT,2.768,2.843,2.705,2.819,31686331.5,88041577.4112,367392
1610841600000,2021-01-17 00:00:00,EOS/USDT,2.780,2.808,2.683,2.768,30747017.8,84568719.5763,365147
1610755200000,2021-01-16 00:00:00,EOS/USDT,2.759,2.893,2.706,2.780,49224673.6,138213141.6240,447428
1610668800000,2021-01-15 00:00:00,EOS/USDT,2.813,2.944,2.579,2.760,66582083.0,184086637.5673,526389
1610582400000,2021-01-14 00:00:00,EOS/USDT,2.771,2.864,2.694,2.812,46900836.2,130018810.7781,389464
1610496000000,2021-01-13 00:00:00,EOS/USDT,2.597,2.795,2.525,2.771,49544886.0,132715219.1656,405761
1610409600000,2021-01-12 00:00:00,EOS/USDT,2.670,2.775,2.531,2.596,62179254.3,165037076.2070,486286
1610323200000,2021-01-11 00:00:00,EOS/USDT,3.063,3.078,2.384,2.670,170879075.9,458110114.2607,949275
1610236800000,2021-01-10 00:00:00,EOS/USDT,3.626,3.938,2.840,3.062,266200631.7,891395038.7212,1304986
1610150400000,2021-01-09 00:00:00,EOS/USDT,3.113,3.758,3.016,3.627,123650226.0,427866845.2097,752851
1610064000000,2021-01-08 00:00:00,EOS/USDT,3.202,3.262,2.898,3.112,81000796.0,250228208.0210,596681
1609977600000,2021-01-07 00:00:00,EOS/USDT,3.380,3.462,3.040,3.201,131158512.1,430482642.3865,695423
1609891200000,2021-01-06 00:00:00,EOS/USDT,2.888,3.470,2.852,3.379,120258713.8,383457832.3943,663784
1609804800000,2021-01-05 00:00:00,EOS/USDT,2.823,2.958,2.714,2.888,59609880.6,169407069.3818,399179
1609718400000,2021-01-04 00:00:00,EOS/USDT,2.806,3.132,2.610,2.822,120902355.4,347577275.0061,665750
1609632000000,2021-01-03 00:00:00,EOS/USDT,2.633,2.859,2.579,2.804,78744991.8,214940426.1914,457260
1609545600000,2021-01-02 00:00:00,EOS/USDT,2.640,2.728,2.564,2.633,36301804.4,95517518.5325,334774
1609459200000,2021-01-01 00:00:00,EOS/USDT,2.593,2.736,2.570,2.640,24442169.3,64634287.4460,349489
1609372800000,2020-12-31 00:00:00,EOS/USDT,2.616,2.660,2.510,2.593,33262356.7,86221375.6634,345952
