https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1636502400000,2021-11-10 00:00:00,LTC/USDT,262.45,296.00,251.88,260.30,10911323.155,3000321000.31708,3074958
1636416000000,2021-11-09 00:00:00,LTC/USDT,229.30,275.00,226.69,262.40,10650100.875,2732095401.29992,2744925
1636329600000,2021-11-08 00:00:00,LTC/USDT,202.28,230.20,202.28,229.30,4363438.170,950680400.06484,1136934
1636243200000,2021-11-07 00:00:00,LTC/USDT,197.74,202.31,197.08,202.29,1067275.226,213032064.55277,401323
1636156800000,2021-11-06 00:00:00,LTC/USDT,198.98,201.30,190.84,197.74,1179391.951,231262381.64830,463762
1636070400000,2021-11-05 00:00:00,LTC/USDT,202.83,203.49,196.76,198.99,1299791.687,260268524.65551,475309
1635984000000,2021-11-04 00:00:00,LTC/USDT,207.47,207.52,196.10,202.83,1680964.908,339399992.10456,566152
1635897600000,2021-11-03 00:00:00,LTC/USDT,201.12,209.57,197.51,207.48,2537979.475,517639872.11561,739071
1635811200000,2021-11-02 00:00:00,LTC/USDT,197.77,205.33,195.32,201.12,1850984.315,370635765.84008,608851
1635724800000,2021-11-01 00:00:00,LTC/USDT,192.02,201.55,187.90,197.75,2155531.069,418100328.23658,690239
1635638400000,2021-10-31 00:00:00,LTC/USDT,190.43,195.50,186.75,192.03,1450325.653,276893507.88053,506326
1635552000000,2021-10-30 00:00:00,LTC/USDT,196.84,197.45,186.60,190.45,1378764.971,264858099.19787,465524
1635465600000,2021-10-29 00:00:00,LTC/USDT,189.94,198.77,188.26,196.84,2026853.897,391652790.48196,632099
1635379200000,2021-10-28 00:00:00,LTC/USDT,179.19,194.53,177.58,189.99,2560804.421,477781170.11504,726272
1635292800000,2021-10-27 00:00:00,LTC/USDT,197.73,205.10,170.00,179.21,4730169.076,892940647.88067,1175806
1635206400000,2021-10-26 00:00:00,LTC/USDT,195.65,199.52,190.40,197.68,2036694.726,396740616.91403,588092
1635120000000,2021-10-25 00:00:00,LTC/USDT,190.47,197.52,189.71,195.62,1499400.638,292037982.81629,487857
1635033600000,2021-10-24 00:00:00,LTC/USDT,196.43,200.19,185.38,190.47,2099563.112,404122909.29286,630963
1634947200000,2021-10-23 00:00:00,LTC/USDT,191.15,198.12,188.98,196.42,1716664.483,333278385.91222,530464
1634860800000,2021-10-22 00:00:00,LTC/USDT,196.94,201.58,188.00,191.14,2584765.279,506112616.41076,731187
1634774400000,2021-10-21 00:00:00,LTC/USDT,207.52,215.00,195.25,196.92,4130953.360,847468230.35645,1099768
1634688000000,2021-10-20 00:00:00,LTC/USDT,188.88,209.57,185.81,207.51,3554198.211,706299938.70254,915576
1634601600000,2021-10-19 00:00:00,LTC/USDT,185.72,191.95,183.19,188.88,2164084.109,406531977.64294,640893
1634515200000,2021-10-18 00:00:00,LTC/USDT,183.92,187.78,178.61,185.72,1825073.403,336132354.68535,630737
1634428800000,2021-10-17 00:00:00,LTC/USDT,186.15,188.39,176.17,183.93,1727383.596,317904828.70588,557538
1634342400000,2021-10-16 00:00:00,LTC/USDT,189.87,192.95,185.11,186.14,1968414.560,371930833.08335,608327
1634256000000,2021-10-15 00:00:00,LTC/USDT,181.52,193.31,176.65,189.86,3926191.520,727139752.86488,1030698
1634169600000,2021-10-14 00:00:00,LTC/USDT,177.78,186.96,177.02,181.53,2671564.023,483949819.15555,752993
1634083200000,2021-10-13 00:00:00,LTC/USDT,172.65,179.75,167.62,177.77,2781991.682,482695824.41386,745256
1633996800000,2021-10-12 00:00:00,LTC/USDT,179.15,179.24,166.31,172.68,3029088.249,521140294.39795,774295
1633910400000,2021-10-11 00:00:00,LTC/USDT,174.72,185.52,171.87,179.15,2978544.177,536999679.19811,778081
1633824000000,2021-10-10 00:00:00,LTC/USDT,180.08,184.28,173.91,174.77,2398108.095,431343701.41015,635361
1633737600000,2021-10-09 00:00:00,LTC/USDT,176.08,183.08,174.40,180.07,2012113.518,361014466.19140,539085
1633651200000,2021-10-08 00:00:00,LTC/USDT,178.70,183.75,174.48,176.06,2710725.934,486992052.47768,677989
1633564800000,2021-10-07 00:00:00,LTC/USDT,178.68,187.18,173.57,178.70,3032425.960,547340195.04399,831027
1633478400000,2021-10-06 00:00:00,LTC/USDT,173.92,183.35,163.80,178.69,3744779.881,658017773.03390,968261
1633392000000,2021-10-05 00:00:00,LTC/USDT,167.57,175.66,166.67,173.88,2288967.616,391838904.85693,651785
1633305600000,2021-10-04 00:00:00,LTC/USDT,170.54,170.87,161.21,167.59,2163494.844,359961271.07413,638774
1633219200000,2021-10-03 00:00:00,LTC/USDT,168.87,175.02,165.69,170.54,1795242.536,305023828.03987,612828
1633132800000,2021-10-02 00:00:00,LTC/USDT,166.13,172.69,164.38,168.83,1623479.170,274219232.21874,595875
1633046400000,2021-10-01 00:00:00,LTC/USDT,153.19,167.90,151.03,166.12,2543309.322,409343323.95981,686327
1632960000000,2021-09-30 00:00:00,LTC/USDT,144.66,154.44,143.74,153.17,2135949.474,322083676.33288,627388
1632873600000,2021-09-29 00:00:00,LTC/USDT,140.35,150.29,139.59,144.65,2465640.745,358856800.90351,671067
1632787200000,2021-09-28 00:00:00,LTC/USDT,144.90,148.85,139.73,140.37,2285748.511,331688472.63960,708136
1632700800000,2021-09-27 00:00:00,LTC/USDT,150.61,154.89,144.62,144.89,2056699.439,310149485.72618,645933
1632614400000,2021-09-26 00:00:00,LTC/USDT,150.83,153.36,141.74,150.61,2617172.873,389047059.58745,758462
1632528000000,2021-09-25 00:00:00,LTC/USDT,151.96,155.88,148.34,150.86,2473310.308,376536535.21361,800561
1632441600000,2021-09-24 00:00:00,LTC/USDT,163.77,166.58,141.62,151.97,3570142.385,540569295.02376,1087332
1632355200000,2021-09-23 00:00:00,LTC/USDT,161.43,165.00,157.08,163.77,1965270.880,316334127.88422,708879
1632268800000,2021-09-22 00:00:00,LTC/USDT,148.46,161.80,145.17,161.46,2686314.170,416580810.84095,963696
1632182400000,2021-09-21 00:00:00,LTC/USDT,157.22,162.33,144.43,148.41,3397384.074,528585697.21939,1171137
1632096000000,2021-09-20 00:00:00,LTC/USDT,175.68,176.09,153.46,157.22,4168184.741,676135637.06440,1303705
1632009600000,2021-09-19 00:00:00,LTC/USDT,181.36,181.77,172.44,175.69,1641974.531,291593386.89875,760758
1631923200000,2021-09-18 00:00:00,LTC/USDT,180.08,185.83,177.84,181.35,1674620.695,305043914.54162,797041
1631836800000,2021-09-17 00:00:00,LTC/USDT,185.33,190.72,177.33,180.08,2580553.314,472906599.32597,996106
1631750400000,2021-09-16 00:00:00,LTC/USDT,189.18,195.54,181.54,185.33,4078368.901,772176110.27630,1219849
1631664000000,2021-09-15 00:00:00,LTC/USDT,183.13,191.88,179.70,189.18,2786880.524,512883262.78294,900297
1631577600000,2021-09-14 00:00:00,LTC/USDT,179.42,189.00,176.20,183.13,4676150.276,847133703.00281,1232003
1631491200000,2021-09-13 00:00:00,LTC/USDT,183.15,236.42,170.72,179.43,19576764.276,3820134517.70460,3557655
1631404800000,2021-09-12 00:00:00,LTC/USDT,178.59,186.23,175.16,183.14,2335199.000,422757141.53371,877454
1631318400000,2021-09-11 00:00:00,LTC/USDT,174.15,186.32,173.37,178.59,2714814.142,490242743.89793,960675
